row_index,column_index,tourism_quality,fishing_quality,coral_km2,mangroves_km2,seagrass_km2,cv_score,not_sure_what_this_is
0,14,3,0,0,3.69,0,0,0
0,15,4,2,0,9.855,36.395,0,0
0,16,0,0,0,0,50,0,0
0,17,0,0,0,0,36.35,0,0
0,18,0,0,0,0,31.93,0,0
0,19,4,2,0,3.53,46.51,0,0
0,20,0,0,3.415,0,24.895,0,0
0,22,5,4,2.415,2.045,30.455,0,0
0,23,4,2,0,3.23,39.75,0,0
0,24,4,2,0,6.76,42.32,0,0
0,25,5,3,4.795,7.02,26.265,0,0
0,26,0,0,0.565,0,0,0,0
0,30,0,0,3.35,0,26.005,0,0
0,31,0,0,8.485,0,23.215,0,0
0,32,0,0,0.02,0,0,0,0
1,13,0,0,0,2.605,0,0,0
1,14,3,0,0,15.56,0,0,0
1,15,4,2,0,2.51,45.485,0,0
1,16,0,0,0,0,50,0,0
1,17,0,0,0,0,24.86,0,0
1,18,0,0,0,0,0.3,0,0
1,19,4,2,0,2.815,35.965,0,0
1,20,0,0,7.335,0,20.01,0,0
1,22,5,5,3.74,5.41,20.42,0,0
1,23,4,2,0,2.55,43.665,0,0
1,24,5,4,0.29,8.155,32.22,0,0
1,25,5,5,3.515,1.19,5.97,0,0
1,30,0,0,2.29,0,16.6,0,0
1,31,0,0,9.33,0,10.025,0,0
2,13,1,0,0,5.515,0,0,0
2,14,3,0,0,12.6,0,0,0
2,15,4,2,0,0.435,47.83,0,0
2,16,0,0,0,0,49.64,0,0
2,17,0,0,0,0,8.26,0,0
2,19,4,2,0,2.095,32.165,0,0
2,20,0,0,4.43,0,18.205,0,0
2,22,5,5,3.23,2.62,7.315,0,0
2,23,5,3,0.16,6.765,37.59,0,0
2,24,5,3,6.68,7.6,9.155,0,0
2,29,4,2,2.285,0,9.195,0,0
2,30,4,2,4.205,0,17.66,0,0
2,31,4,2,7.18,0,4.91,0,0
3,13,1,0,0,0,0,0,0
3,14,3,0,0,7.725,0,0,0
3,15,4,0,0,0.195,48.745,0,0
3,16,0,0,0,0,50,0,0
3,17,0,0,0,0,8.745,0,0
3,19,4,2,0,0.305,32.28,0,0
3,20,0,0,5.075,0,16.77,0,0
3,23,5,5,3.575,1.865,16.58,0,0
3,24,4,0,0.99,0,0.975,0,0
3,29,0,0,5.12,0,13.185,0,0
3,30,0,0,3.915,0,1.445,0,0
4,13,1,0,0,0,0,0,0
4,14,3,0,0,0.455,0,0,0
4,15,4,1,0,1.53,40.795,2,3.26076
4,16,0,0,0,0,50,0,0
4,17,0,0,0,0,28.07,0,0
4,19,1,0,0,0.625,12.175,0,0
4,20,5,3,4.79,0.135,28.915,0,0
4,21,0,0,1.23,0,0.685,0,0
4,29,0,0,3.395,0,3.63,0,0
4,30,0,0,0.48,0,0,0,0
5,13,1,0,0,0,0,0,0
5,14,2,0,0,0,0,0,0
5,15,4,1,0,6.29,15.715,2,3.48663
5,16,4,2,0,3.635,43.73,2,2.33887
5,17,0,0,0,0,42.565,0,0
5,19,0,0,0,0,5.91,0,0
5,20,1,0,0,5.62,26.16,0,0
5,21,0,0,7.815,0,20.6,0,0
6,13,1,0,0,0,0,0,0
6,14,1,0,0,0,0,0,0
6,15,2,0,0,1.35,0,0,0
6,16,4,2,0,5.21,30.28,2,3.32947
6,17,0,0,0,0,34.39,0,0
6,19,1,1,0,0.09,15.43,0,0
6,20,1,0,0,0.77,47.12,0,0
6,21,2,0,5.545,0,18.345,0,0
7,13,1,0,0,0,0,0,0
7,14,1,0,0,0,0,0,0
7,15,2,0,0,0,0,0,0
7,16,1,2,0,1.6,16.49,3,4.79512
7,17,0,0,0,0,31.27,0,0
7,19,1,1,0,0.79,30.21,0,0
7,20,2,5,3.98,1.54,32.95,0,0
7,21,0,0,3.425,0,0.44,0,0
8,13,1,0,0,0,0,0,0
8,14,2,0,0,0,0,0,0
8,15,4,1,0,3.825,5.625,2,3.44655
8,16,1,2,0,8.385,29.895,3,4.25526
8,17,0,0,0,0,14.56,0,0
8,19,0,0,0,0,41.905,0,0
8,20,0,0,6.735,0,13.115,0,0
8,25,0,0,1.545,0,0,0,0
8,26,0,0,4.5,0,0,0,0
8,27,0,0,0.655,0,0,0,0
9,13,1,0,0,0,0,0,0
9,14,2,0,0,0,0,0,0
9,15,1,1,0,3.79,29.47,3,3.99938
9,16,0,0,0,0,28.39,0,0
9,18,1,3,0.66,0.475,5.835,0,0
9,19,2,3,0.08,3.33,45.645,0,0
9,20,1,2,4.38,0,2.985,0,0
9,25,0,0,6.56,0,0,0,0
9,26,0,0,7.01,0,0,0,0
9,27,0,0,9.825,0,0,0,0
9,28,0,0,0.49,0,0,0,0
10,13,1,0,0,0,0,0,0
10,14,2,0,0,0.05,0,0,0
10,15,1,1,0,0.67,19.195,3,4.52901
10,16,0,0,0,0,29.05,0,0
10,18,1,1,0.125,0,26.56,0,0
10,19,1,5,4.41,1.8,36.84,0,0
10,20,0,0,0.615,0,0,0,0
10,24,0,0,1.2,0,0,0,0
10,25,0,0,4.62,0,0,0,0
10,26,0,0,10.285,0,0,0,0
10,27,0,0,7.475,0,0,0,0
11,13,1,0,0,0,0,0,0
11,14,4,0,0,0.51,0.79,0,0
11,15,4,1,0,8.05,21.635,2,2.78831
11,16,4,1,0,0.435,36.185,0,0
11,17,0,0,0.18,0,0,0,0
11,18,3,3,3.16,1.7,16.14,0,0
11,19,2,0,5.5,0.015,34.39,0,0
11,24,0,0,4.07,0,0,0,0
11,25,0,0,3.445,0,0,0,0
11,26,0,0,11.285,0,0,0,0
11,27,0,0,0.585,0,0,0,0
12,13,1,0,0,0,0,0,0
12,14,4,1,0,4.58,12.415,2,1.82135
12,15,4,1,0,0.47,49.425,0,0
12,16,0,0,0,0,25.47,0,0
12,17,1,1,2.895,0.085,0,0,0
12,18,2,5,3.48,0.15,1.195,0,0
12,19,0,0,6.585,0,36.175,0,0
12,23,0,0,0.85,0,0,0,0
12,24,0,0,4.985,0,0,0,0
12,25,1,2,9.225,0,0,0,0
12,26,4,2,7.68,0,0,0,0
13,13,1,0,0,0,0,0,0
13,14,4,1,0,1.215,4.095,2,3.25378
13,15,4,1,0,0.025,49.555,0,0
13,16,0,0,0,0,8.53,0,0
13,17,1,1,2.195,0.645,0,0,0
13,18,2,3,6.545,0.09,3.955,0,0
13,19,0,0,4.22,0,37.24,0,0
13,23,0,0,0.965,0,0,0,0
13,24,1,1,9.735,1.16,0,0,0
13,25,0,0,1.37,0,0,0,0
14,12,1,0,0,0,0,0,0
14,13,4,0,0,0.07,0,0,0
14,14,4,1,0,3.3,23.56,2,2.38713
14,15,0,0,0,0,48.975,0,0
14,16,1,1,1.22,0,0.315,0,0
14,17,1,1,5.915,1.825,0,0,0
14,18,2,0,9.58,0,1.14,0,0
14,19,0,0,5.41,0,35.035,0,0
14,20,0,0,0.95,0,0,0,0
15,11,1,0,0,0,0,0,0
15,12,2,0,0,0,0,0,0
15,13,1,2,0,5.005,14.645,1,1.02539
15,14,5,2,0,1.42,47.17,2,2.91278
15,15,0,0,0,0,49.575,0,0
15,16,2,4,2.41,0.765,3.14,0,0
15,17,1,1,5.845,0.65,0,0,0
15,18,1,0,9.225,0.01,0,0,0
15,19,0,0,8.9,0,19.705,0,0
15,20,0,0,7.475,0,5.175,0,0
16,11,1,0,0,0,0,0,0
16,12,3,0,0,3.55,0,0,0
16,13,1,2,0,9.545,23.385,2,1.74041
16,14,0,0,0,0,49.805,0,0
16,15,0,0,0,0,25.19,0,0
16,16,1,1,2.42,0.13,0,0,0
16,17,1,1,2.885,0.375,0,0,0
16,18,1,1,9.075,0.325,0,0,0
16,19,2,5,9.03,0.165,0.33,0,0
16,20,0,0,17.62,0,20.905,0,0
16,21,0,0,5.93,0,1.67,0,0
17,11,1,0,0,0,0,0,0
17,12,4,2,0,7.825,6.36,0,0
17,13,5,2,0,6.23,36.91,2,1.47376
17,14,0,0,0,0,30.055,0,0
17,15,1,2,0,1.43,0,0,0
17,16,1,2,0,0.155,0,0,0
17,17,1,0,0.785,0.13,0,0,0
17,18,0,0,0.135,0,0,0,0
17,19,1,1,12.96,0.26,0,0,0
17,20,2,4,4.56,0.15,0.39,0,0
17,21,0,0,19.13,0,11.555,0,0
17,22,0,0,0.055,0,0,0,0
18,10,1,0,0,0,0,0,0
18,11,2,0,0,0.285,0,0,0
18,12,4,1,0,4.62,19.53,2,2.04348
18,13,4,1,0,0.14,49.725,0,0
18,14,4,1,0,0.085,12.98,0,0
18,15,1,2,0,0.055,0,0,0
18,16,1,1,0.3,0.53,0,0,0
18,17,1,1,4.57,0.21,0,0,0
18,18,0,0,2.56,0,0,0,0
18,19,1,2,10.345,0,0,0,0
18,20,1,2,6.085,0,0,0,0
18,21,0,0,16.13,0,0,0,0
19,9,1,0,0,0,0,0,0
19,10,2,0,0,0,0,0,0
19,11,4,1,0,4.33,8.58,1,0.868512
19,12,4,1,0,5.365,41.405,2,3.00533
19,13,0,0,0,0,43.595,0,0
19,14,0,0,0,0,3.445,0,0
19,16,0,0,5.04,0,0,0,0
19,17,1,2,3.305,0,0,0,0
19,18,0,0,2.54,0,0,0,0
19,19,1,0,6.875,0,0,0,0
19,20,0,0,2.855,0,0,0,0
19,21,0,0,0.945,0,0,0,0
20,6,1,0,0,0,0,0,0
20,7,1,0,0,0,0,0,0
20,8,1,0,0,0,0,0,0
20,9,1,0,0,0,0,0,0
20,10,3,0,0,0.07,0,0,0
20,11,4,1,0,8.075,31.93,2,2.01893
20,12,4,1,0,0.405,49.475,0,0
20,13,0,0,0,0,10.335,0,0
20,16,0,0,0.365,0,0,0,0
20,18,0,0,0.54,0,0,0,0
20,19,0,0,2.205,0,0,0,0
20,20,0,0,1.065,0,0,0,0
21,5,1,0,0,0,0,0,0
21,6,3,0,0,2.175,0,0,0
21,7,3,0,0,6.65,0,0,0
21,8,1,0,0,0.325,0,0,0
21,9,2,0,0,0,0,0,0
21,10,1,1,0,0.37,9.195,3,4.47719
21,11,4,1,0,0.235,48.435,0,0
21,12,0,0,0,0,28.47,0,0
21,18,0,0,3.19,0,11.78,0,0
21,19,0,0,1.84,0,0,0,0
22,4,1,0,0,0,0,0,0
22,5,1,0,0,0,0,0,0
22,6,3,2,0,8.085,0,0,0
22,7,4,1,0,21.545,2.81,0,0
22,8,3,0,0,8.365,0,0,0
22,9,4,1,0,0.1,6.63,2,2.59703
22,10,1,2,0,0,44.74,3,3.93885
22,11,0,0,0,0,23.825,0,0
22,17,0,0,0,0,6.4,0,0
22,18,0,0,4.01,0,5.105,0,0
23,3,1,0,0,0,0,0,0
23,4,2,0,0,0,0,0,0
23,5,4,1,0,9.675,1.68,0,0
23,6,1,1,0,11.73,11.115,1,1.02528
23,7,1,2,0,5.075,39.13,1,1.00717
23,8,1,2,0,9.46,28.115,1,0.878229
23,9,2,1,0,0.165,42.68,1,1.24109
23,10,0,0,0,0,21.095,0,0
23,13,0,0,1.265,0,0,0,0
23,14,0,0,0.725,0,0,0,0
23,17,0,0,2.5,0,8.15,0,0
23,18,0,0,0.595,0,0,0,0
24,3,1,0,0,0,0,0,0
24,4,2,0,0,0,0,0,0
24,5,1,1,0,7.835,25.55,1,1.1805
24,6,1,2,0,2.9,47.205,0,0
24,7,2,2,0,4.405,46.085,0,0
24,8,4,3,0.005,0.395,38.745,0,0
24,9,4,0,3.95,0,16.325,0,0
24,10,0,0,0.05,0,0,0,0
24,13,0,0,7.485,0,0,0,0
24,14,0,0,6.32,0,0,0,0
24,15,0,0,0.835,0,0,0,0
24,16,0,0,0.59,0,0,0,0
24,17,0,0,2.41,0,1.66,0,0
25,3,2,0,0,0,0,0,0
25,4,3,0,0,1.17,0,0,0
25,5,4,1,0,10.07,27.64,1,1.34852
25,6,4,1,0,2.32,48.28,0,0
25,7,2,1,0,2.52,47.495,0,0
25,8,0,0,2.955,0,3.465,0,0
25,9,3,2,9.095,0,0,0,0
25,12,0,0,3.395,0,0,0,0
25,13,0,0,5.7,0,0,0,0
25,14,0,0,6.54,0,0,0,0
25,16,0,0,4.65,0,0,0,0
26,3,3,0,0,0,0,0,0
26,4,4,1,0,2.01,22.845,1,1.15676
26,5,4,1,0,0.72,47.34,1,1.13088
26,6,0,0,0,0,50,0,0
26,7,0,0,0,0,38.74,0,0
26,8,0,0,0,0,0.155,0,0
26,13,0,0,3.25,0,0,0,0
26,14,0,0,5.91,0,0,0,0
26,15,1,1,19.855,0,0,0,0
26,16,0,0,3.03,0,0,0,0
27,2,3,0,0,1.52,0,0,0
27,3,4,1,0,1.575,21.79,1,1.39902
27,4,4,1,0,0.1,43.905,0,0
27,5,0,0,0,0,40.11,0,0
27,6,0,0,0,0,32.92,0,0
27,7,0,0,0,0,2.96,0,0
27,13,0,0,0.525,0,0,0,0
27,14,0,0,11.75,0,0,0,0
27,15,0,0,6.025,0,0,0,0
28,0,2,0,0,1.215,0,0,0
28,1,4,1,0,0.01,0.02,0,0
28,2,4,1,0,0.89,13.49,2,1.79428
28,3,4,1,0,0.32,44.865,0,0
28,4,0,0,0,0,2.78,0,0
28,5,0,0,0,0,0.135,0,0
28,6,0,0,0,0,0.165,0,0
28,13,0,0,0.19,0,0,0,0
28,14,0,0,0.58,0,0,0,0
29,0,2,0,0,3.11,0,0,0
29,1,4,1,0,1.095,25.88,2,1.62392
29,2,0,0,0,0,46.105,0,0
29,3,0,0,0,0,23.97,0,0
30,0,3,0,0,0.03,0,0,0
30,1,4,1,0,1.315,24.41,2,2.34504
30,2,0,0,0,0,44.64,0,0
30,3,0,0,0,0,4.545,0,0
31,0,3,0,0,0,0,0,0
31,1,4,1,0,0.04,4.44,2,1.83174
31,2,0,0,0,0,2.2,0,0
